Inf;Sup;null
2005-04-10, 00:00:00,000;2005-04-10, 00:59:59,999;NaN
2005-04-10, 01:00:00,000;2005-04-10, 01:59:59,999;NaN
2005-04-10, 02:00:00,000;2005-04-10, 02:59:59,999;NaN
2005-04-10, 03:00:00,000;2005-04-10, 03:59:59,999;NaN
2005-04-10, 04:00:00,000;2005-04-10, 04:59:59,999;NaN
2005-04-10, 05:00:00,000;2005-04-10, 05:59:59,999;NaN
2005-04-10, 06:00:00,000;2005-04-10, 06:59:59,999;NaN
2005-04-10, 07:00:00,000;2005-04-10, 07:59:59,999;NaN
2005-04-10, 08:00:00,000;2005-04-10, 08:59:59,999;NaN
2005-04-10, 09:00:00,000;2005-04-10, 09:59:59,999;NaN
2005-04-10, 10:00:00,000;2005-04-10, 10:59:59,999;NaN
2005-04-10, 11:00:00,000;2005-04-10, 11:59:59,999;NaN
2005-04-10, 12:00:00,000;2005-04-10, 12:59:59,999;NaN
2005-04-10, 13:00:00,000;2005-04-10, 13:59:59,999;NaN
2005-04-10, 14:00:00,000;2005-04-10, 14:59:59,999;NaN
2005-04-10, 15:00:00,000;2005-04-10, 15:59:59,999;NaN
2005-04-10, 16:00:00,000;2005-04-10, 16:59:59,999;NaN
2005-04-10, 17:00:00,000;2005-04-10, 17:59:59,999;NaN
2005-04-10, 18:00:00,000;2005-04-10, 18:59:59,999;NaN
2005-04-10, 19:00:00,000;2005-04-10, 19:59:59,999;NaN
2005-04-10, 20:00:00,000;2005-04-10, 20:59:59,999;NaN
2005-04-10, 21:00:00,000;2005-04-10, 21:59:59,999;NaN
2005-04-10, 22:00:00,000;2005-04-10, 22:59:59,999;NaN
2005-04-10, 23:00:00,000;2005-04-10, 23:59:59,999;NaN
2005-04-11, 00:00:00,000;2005-04-11, 00:59:59,999;NaN
2005-04-11, 01:00:00,000;2005-04-11, 01:59:59,999;NaN
2005-04-11, 02:00:00,000;2005-04-11, 02:59:59,999;NaN
2005-04-11, 03:00:00,000;2005-04-11, 03:59:59,999;NaN
2005-04-11, 04:00:00,000;2005-04-11, 04:59:59,999;NaN
2005-04-11, 05:00:00,000;2005-04-11, 05:59:59,999;NaN
2005-04-11, 06:00:00,000;2005-04-11, 06:59:59,999;NaN
2005-04-11, 07:00:00,000;2005-04-11, 07:59:59,999;NaN
2005-04-11, 08:00:00,000;2005-04-11, 08:59:59,999;420.0
2005-04-11, 09:00:00,000;2005-04-11, 09:59:59,999;386.0
2005-04-11, 10:00:00,000;2005-04-11, 10:59:59,999;339.0
2005-04-11, 11:00:00,000;2005-04-11, 11:59:59,999;314.0
2005-04-11, 12:00:00,000;2005-04-11, 12:59:59,999;305.0
2005-04-11, 13:00:00,000;2005-04-11, 13:59:59,999;272.0
2005-04-11, 14:00:00,000;2005-04-11, 14:59:59,999;363.0
2005-04-11, 15:00:00,000;2005-04-11, 15:59:59,999;453.0
2005-04-11, 16:00:00,000;2005-04-11, 16:59:59,999;420.0
2005-04-11, 17:00:00,000;2005-04-11, 17:59:59,999;406.0
2005-04-11, 18:00:00,000;2005-04-11, 18:59:59,999;372.0
2005-04-11, 19:00:00,000;2005-04-11, 19:59:59,999;295.0
2005-04-11, 20:00:00,000;2005-04-11, 20:59:59,999;216.0
2005-04-11, 21:00:00,000;2005-04-11, 21:59:59,999;192.0
2005-04-11, 22:00:00,000;2005-04-11, 22:59:59,999;143.0
2005-04-11, 23:00:00,000;2005-04-11, 23:59:59,999;92.0
2005-04-12, 00:00:00,000;2005-04-12, 00:59:59,999;74.0
2005-04-12, 01:00:00,000;2005-04-12, 01:59:59,999;42.0
2005-04-12, 02:00:00,000;2005-04-12, 02:59:59,999;14.0
2005-04-12, 03:00:00,000;2005-04-12, 03:59:59,999;15.0
2005-04-12, 04:00:00,000;2005-04-12, 04:59:59,999;28.0
2005-04-12, 05:00:00,000;2005-04-12, 05:59:59,999;103.0
2005-04-12, 06:00:00,000;2005-04-12, 06:59:59,999;260.0
2005-04-12, 07:00:00,000;2005-04-12, 07:59:59,999;500.0
2005-04-12, 08:00:00,000;2005-04-12, 08:59:59,999;427.0
2005-04-12, 09:00:00,000;2005-04-12, 09:59:59,999;447.0
2005-04-12, 10:00:00,000;2005-04-12, 10:59:59,999;301.0
2005-04-12, 11:00:00,000;2005-04-12, 11:59:59,999;307.0
2005-04-12, 12:00:00,000;2005-04-12, 12:59:59,999;386.0
2005-04-12, 13:00:00,000;2005-04-12, 13:59:59,999;419.0
2005-04-12, 14:00:00,000;2005-04-12, 14:59:59,999;375.0
2005-04-12, 15:00:00,000;2005-04-12, 15:59:59,999;555.0
2005-04-12, 16:00:00,000;2005-04-12, 16:59:59,999;600.0
2005-04-12, 17:00:00,000;2005-04-12, 17:59:59,999;487.0
2005-04-12, 18:00:00,000;2005-04-12, 18:59:59,999;499.0
2005-04-12, 19:00:00,000;2005-04-12, 19:59:59,999;340.0
2005-04-12, 20:00:00,000;2005-04-12, 20:59:59,999;206.0
2005-04-12, 21:00:00,000;2005-04-12, 21:59:59,999;211.0
2005-04-12, 22:00:00,000;2005-04-12, 22:59:59,999;148.0
2005-04-12, 23:00:00,000;2005-04-12, 23:59:59,999;78.0
2005-04-13, 00:00:00,000;2005-04-13, 00:59:59,999;51.0
2005-04-13, 01:00:00,000;2005-04-13, 01:59:59,999;29.0
2005-04-13, 02:00:00,000;2005-04-13, 02:59:59,999;20.0
