Inf;Sup;value
2005-04-10, 00:00:00,000;2005-04-10, 23:59:59,999;-1
2005-04-11, 00:00:00,000;2005-04-11, 23:59:59,999;-1
2005-04-12, 00:00:00,000;2005-04-12, 23:59:59,999;6822.0
2005-04-13, 00:00:00,000;2005-04-13, 23:59:59,999;6742.0
2005-04-14, 00:00:00,000;2005-04-14, 23:59:59,999;6423.0
2005-04-15, 00:00:00,000;2005-04-15, 23:59:59,999;-1
2005-04-16, 00:00:00,000;2005-04-16, 23:59:59,999;-1
2005-04-17, 00:00:00,000;2005-04-17, 23:59:59,999;5322.0
2005-04-18, 00:00:00,000;2005-04-18, 23:59:59,999;-1
2005-04-19, 00:00:00,000;2005-04-19, 23:59:59,999;6049.0
2005-04-20, 00:00:00,000;2005-04-20, 23:59:59,999;6166.0
2005-04-21, 00:00:00,000;2005-04-21, 23:59:59,999;-1
2005-04-22, 00:00:00,000;2005-04-22, 23:59:59,999;6038.0
2005-04-23, 00:00:00,000;2005-04-23, 23:59:59,999;5366.0
2005-04-24, 00:00:00,000;2005-04-24, 23:59:59,999;4319.0
2005-04-25, 00:00:00,000;2005-04-25, 23:59:59,999;6280.0
2005-04-26, 00:00:00,000;2005-04-26, 23:59:59,999;6605.0
2005-04-27, 00:00:00,000;2005-04-27, 23:59:59,999;6622.0
2005-04-28, 00:00:00,000;2005-04-28, 23:59:59,999;5948.0
2005-04-29, 00:00:00,000;2005-04-29, 23:59:59,999;6657.0
2005-04-30, 00:00:00,000;2005-04-30, 23:59:59,999;6090.0
2005-05-01, 00:00:00,000;2005-05-01, 23:59:59,999;5178.0
2005-05-02, 00:00:00,000;2005-05-02, 23:59:59,999;6259.0
2005-05-03, 00:00:00,000;2005-05-03, 23:59:59,999;6530.0
2005-05-04, 00:00:00,000;2005-05-04, 23:59:59,999;6423.0
2005-05-05, 00:00:00,000;2005-05-05, 23:59:59,999;5985.0
2005-05-06, 00:00:00,000;2005-05-06, 23:59:59,999;6485.0
2005-05-07, 00:00:00,000;2005-05-07, 23:59:59,999;5284.0
2005-05-08, 00:00:00,000;2005-05-08, 23:59:59,999;4585.0
2005-05-09, 00:00:00,000;2005-05-09, 23:59:59,999;5511.0
2005-05-10, 00:00:00,000;2005-05-10, 23:59:59,999;6063.0
2005-05-11, 00:00:00,000;2005-05-11, 23:59:59,999;6004.0
2005-05-12, 00:00:00,000;2005-05-12, 23:59:59,999;6132.0
2005-05-13, 00:00:00,000;2005-05-13, 23:59:59,999;6706.0
2005-05-14, 00:00:00,000;2005-05-14, 23:59:59,999;5460.0
2005-05-15, 00:00:00,000;2005-05-15, 23:59:59,999;5414.0
2005-05-16, 00:00:00,000;2005-05-16, 23:59:59,999;6205.0
2005-05-17, 00:00:00,000;2005-05-17, 23:59:59,999;6385.0
2005-05-18, 00:00:00,000;2005-05-18, 23:59:59,999;6483.0
2005-05-19, 00:00:00,000;2005-05-19, 23:59:59,999;6145.0
2005-05-20, 00:00:00,000;2005-05-20, 23:59:59,999;7119.0
2005-05-21, 00:00:00,000;2005-05-21, 23:59:59,999;5767.0
2005-05-22, 00:00:00,000;2005-05-22, 23:59:59,999;4977.0
2005-05-23, 00:00:00,000;2005-05-23, 23:59:59,999;-1
2005-05-24, 00:00:00,000;2005-05-24, 23:59:59,999;-1
2005-05-25, 00:00:00,000;2005-05-25, 23:59:59,999;-1
2005-05-26, 00:00:00,000;2005-05-26, 23:59:59,999;5867.0
2005-05-27, 00:00:00,000;2005-05-27, 23:59:59,999;6230.0
2005-05-28, 00:00:00,000;2005-05-28, 23:59:59,999;4938.0
2005-05-29, 00:00:00,000;2005-05-29, 23:59:59,999;4081.0
2005-05-30, 00:00:00,000;2005-05-30, 23:59:59,999;3973.0
2005-05-31, 00:00:00,000;2005-05-31, 23:59:59,999;6267.0
2005-06-01, 00:00:00,000;2005-06-01, 23:59:59,999;6520.0
2005-06-02, 00:00:00,000;2005-06-02, 23:59:59,999;6106.0
2005-06-03, 00:00:00,000;2005-06-03, 23:59:59,999;6585.0
2005-06-04, 00:00:00,000;2005-06-04, 23:59:59,999;5745.0
2005-06-05, 00:00:00,000;2005-06-05, 23:59:59,999;4492.0
2005-06-06, 00:00:00,000;2005-06-06, 23:59:59,999;6578.0
2005-06-07, 00:00:00,000;2005-06-07, 23:59:59,999;5975.0
2005-06-08, 00:00:00,000;2005-06-08, 23:59:59,999;6278.0
2005-06-09, 00:00:00,000;2005-06-09, 23:59:59,999;5867.0
2005-06-10, 00:00:00,000;2005-06-10, 23:59:59,999;6540.0
2005-06-11, 00:00:00,000;2005-06-11, 23:59:59,999;5771.0
2005-06-12, 00:00:00,000;2005-06-12, 23:59:59,999;5024.0
2005-06-13, 00:00:00,000;2005-06-13, 23:59:59,999;5974.0
2005-06-14, 00:00:00,000;2005-06-14, 23:59:59,999;5966.0
2005-06-15, 00:00:00,000;2005-06-15, 23:59:59,999;5469.0
2005-06-16, 00:00:00,000;2005-06-16, 23:59:59,999;5770.0
2005-06-17, 00:00:00,000;2005-06-17, 23:59:59,999;6222.0
2005-06-18, 00:00:00,000;2005-06-18, 23:59:59,999;5468.0
2005-06-19, 00:00:00,000;2005-06-19, 23:59:59,999;4463.0
2005-06-20, 00:00:00,000;2005-06-20, 23:59:59,999;5636.0
2005-06-21, 00:00:00,000;2005-06-21, 23:59:59,999;5759.0
2005-06-22, 00:00:00,000;2005-06-22, 23:59:59,999;6027.0
2005-06-23, 00:00:00,000;2005-06-23, 23:59:59,999;-1
2005-06-24, 00:00:00,000;2005-06-24, 23:59:59,999;6347.0
2005-06-25, 00:00:00,000;2005-06-25, 23:59:59,999;5111.0
2005-06-26, 00:00:00,000;2005-06-26, 23:59:59,999;4432.0
2005-06-27, 00:00:00,000;2005-06-27, 23:59:59,999;-1
2005-06-28, 00:00:00,000;2005-06-28, 23:59:59,999;-1
2005-06-29, 00:00:00,000;2005-06-29, 23:59:59,999;-1
2005-06-30, 00:00:00,000;2005-06-30, 23:59:59,999;-1
