Date	AvgTemp	MaxTemp	MinTemp	Precipitation	RelHumidity	CloudCover	SunshineDuration	AirPressure	Wind	VaporContent
1893-01-01	-10.6	-8.1	-13.3	0	79	54	2.6	990.7	3	2.3
1893-01-02	-12.9	-8.5	-16	0.1	97	46	1.1	995.1	3	2.3
1893-01-03	-12	-9.7	-17.9	3.2	85	66	0.2	1010.4	1.9	1.9
1893-01-04	-5.5	-4.7	-10.1	1.7	96	80	0	1013.8	1.3	3.7
1893-01-05	-6.2	-3.6	-8.1	0	95	80	0	1015.6	1.3	3.7
1893-01-06	-13.9	-7.8	-17.7	0	83	64	0.3	1015.4	2.5	1.7
1893-01-07	-15.2	-12.6	-17.8	0	80	14	6.7	1009.8	7.5	1.5
1893-01-08	-11.2	-6.9	-15.8	0	79	14	6.8	1004.1	7.5	2
1893-01-09	-5.5	-3.8	-12.8	0.6	84	74	0	995.7	3.8	3.3
1893-01-10	-4.6	-3	-8	0.1	88	80	0	995.2	12.3	3.7
1893-01-11	-11.5	-4	-15.3	0	84	26	5	1003.9	6	2.4
1893-01-12	-12.6	-10.7	-18.3	0	86	46	3.6	1006.8	4.4	1.9
1893-01-13	-8.1	-5.9	-12	6.2	93	78	0	995.2	7.5	2.9
1893-01-14	-11	-3.4	-15.7	0.7	90	54	0	989.1	8.5	2.7
1893-01-15	-14.6	-11.7	-19.5	0.3	88	66	0.9	1005.7	2.5	1.6
1893-01-16	-11.1	-7.5	-16.4	5.1	91	80	0	1000.8	6	2.3
1893-01-17	-17.5	-7.7	-21.8	0.1	85	40	4.1	1002.6	2.5	1.6
1893-01-18	-19.2	-15.1	-24.3	0.1	84	46	4.7	1014.6	1.9	1.2
1893-01-19	-18.4	-16	-25.7	0	83	10	7.4	1021.1	5	1.1
1893-01-20	-7.8	-3.6	-18.8	2.6	84	54	5.3	1008.7	7.5	2.8
1893-01-21	-4	-0.9	-5.7	0.4	83	46	0.6	996.6	14.5	3.9
1893-01-22	-7.2	-5	-9.2	0	86	72	0	1000.8	11.4	3.2
1893-01-23	-10.4	-5.4	-14.7	0	84	22	6.3	1000.9	1.9	2.4
1893-01-24	-3.4	1.2	-16.9	4	94	72	0	1001.9	6	4.3
1893-01-25	2.1	2.5	1.1	0.7	92	72	0	1002	13.2	6.5
