"date","city","resp"
"1987-01-04","Los Angeles",17.5
"1987-01-11","Los Angeles",13.4285714285714
"1987-01-18","Los Angeles",19.4285714285714
"1987-01-25","Los Angeles",15.5714285714286
"1987-02-01","Los Angeles",16.8571428571429
"1987-02-08","Los Angeles",15.5714285714286
"1987-02-15","Los Angeles",13.7142857142857
"1987-02-22","Los Angeles",13.8571428571429
"1987-03-01","Los Angeles",12.8571428571429
"1987-03-08","Los Angeles",12.8571428571429
"1987-03-15","Los Angeles",13.8571428571429
"1987-03-22","Los Angeles",13.7142857142857
"1987-01-04","New York",15.5
"1987-01-11","New York",20.7142857142857
"1987-01-18","New York",17.7142857142857
"1987-01-25","New York",19.5714285714286
"1987-02-01","New York",15.8571428571429
"1987-02-08","New York",17.2857142857143
"1987-02-15","New York",16.2857142857143
"1987-02-22","New York",18.1428571428571
"1987-03-01","New York",16.7142857142857
"1987-03-08","New York",15.5714285714286
"1987-03-15","New York",15
"1987-03-22","New York",16.1428571428571
