"date","city","resp"
"1987-01-04","Los Angeles",17.5
"1987-01-11","Los Angeles",13.4285714285714
"1987-01-18","Los Angeles",19.4285714285714
"1987-01-25","Los Angeles",15.5714285714286
"1987-02-01","Los Angeles",16.8571428571429
"1987-02-08","Los Angeles",15.5714285714286
"1987-02-15","Los Angeles",13.7142857142857
"1987-02-22","Los Angeles",13.8571428571429
"1987-03-01","Los Angeles",12.8571428571429
"1987-03-08","Los Angeles",12.8571428571429
"1987-03-15","Los Angeles",13.8571428571429
"1987-03-22","Los Angeles",13.7142857142857
"1987-03-29","Los Angeles",14
"1987-04-05","Los Angeles",14.2857142857143
"1987-04-12","Los Angeles",13.5714285714286
"1987-04-19","Los Angeles",13.1428571428571
"1987-04-26","Los Angeles",12.8571428571429
"1987-05-03","Los Angeles",12.4285714285714
"1987-05-10","Los Angeles",12.2857142857143
"1987-05-17","Los Angeles",12.4285714285714
"1987-05-24","Los Angeles",11.8571428571429
"1987-05-31","Los Angeles",10.2857142857143
"1987-06-07","Los Angeles",12.1428571428571
"1987-06-14","Los Angeles",11.2857142857143
"1987-06-21","Los Angeles",11
"1987-06-28","Los Angeles",11.4285714285714
"1987-07-05","Los Angeles",10.1428571428571
"1987-07-12","Los Angeles",9.85714285714286
"1987-07-19","Los Angeles",11.4285714285714
"1987-07-26","Los Angeles",11.7142857142857
"1987-08-02","Los Angeles",8.28571428571429
"1987-08-09","Los Angeles",11.2857142857143
"1987-08-16","Los Angeles",10
"1987-08-23","Los Angeles",9.28571428571429
"1987-08-30","Los Angeles",11.4285714285714
"1987-09-06","Los Angeles",12.8571428571429
"1987-09-13","Los Angeles",10.4285714285714
"1987-09-20","Los Angeles",11.7142857142857
"1987-09-27","Los Angeles",13
"1987-10-04","Los Angeles",13.1428571428571
"1987-10-11","Los Angeles",11
"1987-10-18","Los Angeles",11.2857142857143
"1987-10-25","Los Angeles",10.1428571428571
"1987-11-01","Los Angeles",11.5714285714286
"1987-11-08","Los Angeles",11.2857142857143
"1987-11-15","Los Angeles",11.8571428571429
"1987-11-22","Los Angeles",10.7142857142857
"1987-11-29","Los Angeles",11.5714285714286
"1987-12-06","Los Angeles",14.7142857142857
"1987-12-13","Los Angeles",15.4285714285714
"1987-12-20","Los Angeles",14.5714285714286
"1987-12-27","Los Angeles",15.2857142857143
"1988-01-03","Los Angeles",16.8571428571429
"1988-01-10","Los Angeles",15
"1988-01-17","Los Angeles",19
"1988-01-24","Los Angeles",21.1428571428571
"1988-01-31","Los Angeles",25.2857142857143
"1988-02-07","Los Angeles",24.1428571428571
"1988-02-14","Los Angeles",24.8571428571429
"1988-02-21","Los Angeles",24.1428571428571
"1988-02-28","Los Angeles",21.2857142857143
"1988-03-06","Los Angeles",18.2857142857143
"1988-03-13","Los Angeles",15.8571428571429
"1988-03-20","Los Angeles",16
"1988-03-27","Los Angeles",16.1428571428571
"1988-04-03","Los Angeles",11.8571428571429
"1988-04-10","Los Angeles",13.8571428571429
"1988-04-17","Los Angeles",13.1428571428571
"1988-04-24","Los Angeles",12
"1988-05-01","Los Angeles",8.57142857142857
"1988-05-08","Los Angeles",12
"1988-05-15","Los Angeles",13.7142857142857
"1988-05-22","Los Angeles",13.1428571428571
"1988-05-29","Los Angeles",10.5714285714286
"1988-06-05","Los Angeles",11.7142857142857
"1988-06-12","Los Angeles",11.1428571428571
"1988-06-19","Los Angeles",11.5714285714286
"1988-06-26","Los Angeles",11.1428571428571
"1988-07-03","Los Angeles",13.1428571428571
"1988-07-10","Los Angeles",10.8571428571429
"1988-07-17","Los Angeles",12.2857142857143
"1988-07-24","Los Angeles",11
"1988-07-31","Los Angeles",11.1428571428571
"1988-08-07","Los Angeles",10.1428571428571
"1988-08-14","Los Angeles",10.5714285714286
"1988-08-21","Los Angeles",11.5714285714286
"1988-08-28","Los Angeles",10.2857142857143
"1988-09-04","Los Angeles",9.85714285714286
"1988-09-11","Los Angeles",12.2857142857143
"1988-09-18","Los Angeles",9.71428571428571
"1988-09-25","Los Angeles",11.8571428571429
"1988-10-02","Los Angeles",11.2857142857143
"1988-10-09","Los Angeles",10.2857142857143
"1988-10-16","Los Angeles",12.5714285714286
"1988-10-23","Los Angeles",12.5714285714286
"1988-10-30","Los Angeles",9.28571428571429
"1988-11-06","Los Angeles",11.7142857142857
"1988-11-13","Los Angeles",10
"1988-11-20","Los Angeles",10.4285714285714
"1988-11-27","Los Angeles",13
"1988-12-04","Los Angeles",13.4285714285714
"1988-12-11","Los Angeles",14.1428571428571
"1988-12-18","Los Angeles",17.4285714285714
"1988-12-25","Los Angeles",16
"1989-01-01","Los Angeles",13.8571428571429
"1989-01-08","Los Angeles",20.2857142857143
"1989-01-15","Los Angeles",21
"1989-01-22","Los Angeles",30.7142857142857
"1989-01-29","Los Angeles",32.4285714285714
"1989-02-05","Los Angeles",29.8571428571429
"1989-02-12","Los Angeles",30.2857142857143
"1989-02-19","Los Angeles",22.7142857142857
"1989-02-26","Los Angeles",21.4285714285714
"1989-03-05","Los Angeles",21.4285714285714
"1989-03-12","Los Angeles",17.5714285714286
"1989-03-19","Los Angeles",14.5714285714286
"1989-03-26","Los Angeles",14.4285714285714
"1989-04-02","Los Angeles",9.57142857142857
"1989-04-09","Los Angeles",15.8571428571429
"1989-04-16","Los Angeles",13.7142857142857
"1989-04-23","Los Angeles",12
"1989-04-30","Los Angeles",13.2857142857143
"1989-05-07","Los Angeles",12.1428571428571
"1989-05-14","Los Angeles",11.1428571428571
