"date","city","resp"
"1987-01-04","Los Angeles",70
"1987-01-11","Los Angeles",94
"1987-01-18","Los Angeles",136
"1987-01-25","Los Angeles",109
"1987-02-01","Los Angeles",118
"1987-02-08","Los Angeles",109
"1987-02-15","Los Angeles",96
"1987-02-22","Los Angeles",97
"1987-03-01","Los Angeles",90
"1987-03-08","Los Angeles",90
"1987-03-15","Los Angeles",97
"1987-03-22","Los Angeles",96
"1987-03-29","Los Angeles",98
"1987-04-05","Los Angeles",100
"1987-04-12","Los Angeles",95
"1987-04-19","Los Angeles",92
"1987-04-26","Los Angeles",90
"1987-05-03","Los Angeles",87
"1987-05-10","Los Angeles",86
"1987-05-17","Los Angeles",87
"1987-05-24","Los Angeles",83
"1987-05-31","Los Angeles",72
"1987-06-07","Los Angeles",85
"1987-06-14","Los Angeles",79
"1987-06-21","Los Angeles",77
"1987-06-28","Los Angeles",80
"1987-07-05","Los Angeles",71
"1987-07-12","Los Angeles",69
"1987-07-19","Los Angeles",80
"1987-07-26","Los Angeles",82
"1987-08-02","Los Angeles",58
"1987-08-09","Los Angeles",79
"1987-08-16","Los Angeles",70
"1987-08-23","Los Angeles",65
"1987-08-30","Los Angeles",80
"1987-09-06","Los Angeles",90
"1987-09-13","Los Angeles",73
"1987-09-20","Los Angeles",82
"1987-09-27","Los Angeles",91
"1987-10-04","Los Angeles",92
"1987-10-11","Los Angeles",77
"1987-10-18","Los Angeles",79
"1987-10-25","Los Angeles",71
"1987-11-01","Los Angeles",81
"1987-11-08","Los Angeles",79
"1987-11-15","Los Angeles",83
"1987-11-22","Los Angeles",75
"1987-11-29","Los Angeles",81
"1987-12-06","Los Angeles",103
"1987-12-13","Los Angeles",108
"1987-12-20","Los Angeles",102
"1987-12-27","Los Angeles",107
"1988-01-03","Los Angeles",118
"1988-01-10","Los Angeles",105
"1988-01-17","Los Angeles",133
"1988-01-24","Los Angeles",148
"1988-01-31","Los Angeles",177
"1988-02-07","Los Angeles",169
"1988-02-14","Los Angeles",174
"1988-02-21","Los Angeles",169
"1988-02-28","Los Angeles",149
"1988-03-06","Los Angeles",128
"1988-03-13","Los Angeles",111
"1988-03-20","Los Angeles",112
"1988-03-27","Los Angeles",113
"1988-04-03","Los Angeles",83
"1988-04-10","Los Angeles",97
"1988-04-17","Los Angeles",92
"1988-04-24","Los Angeles",84
"1988-05-01","Los Angeles",60
"1988-05-08","Los Angeles",84
"1988-05-15","Los Angeles",96
"1988-05-22","Los Angeles",92
"1988-05-29","Los Angeles",74
"1988-06-05","Los Angeles",82
"1988-06-12","Los Angeles",78
"1988-06-19","Los Angeles",81
"1988-06-26","Los Angeles",78
"1988-07-03","Los Angeles",92
"1988-07-10","Los Angeles",76
"1988-07-17","Los Angeles",86
"1988-07-24","Los Angeles",77
"1988-07-31","Los Angeles",78
"1988-08-07","Los Angeles",71
"1988-08-14","Los Angeles",74
"1988-08-21","Los Angeles",81
"1988-08-28","Los Angeles",72
"1988-09-04","Los Angeles",69
"1988-09-11","Los Angeles",86
"1988-09-18","Los Angeles",68
"1988-09-25","Los Angeles",83
"1988-10-02","Los Angeles",79
"1988-10-09","Los Angeles",72
"1988-10-16","Los Angeles",88
"1988-10-23","Los Angeles",88
"1988-10-30","Los Angeles",65
"1988-11-06","Los Angeles",82
"1988-11-13","Los Angeles",70
"1988-11-20","Los Angeles",73
"1988-11-27","Los Angeles",91
"1988-12-04","Los Angeles",94
"1988-12-11","Los Angeles",99
"1988-12-18","Los Angeles",122
"1988-12-25","Los Angeles",112
"1989-01-01","Los Angeles",97
"1989-01-08","Los Angeles",142
"1989-01-15","Los Angeles",147
"1989-01-22","Los Angeles",215
"1989-01-29","Los Angeles",227
"1989-02-05","Los Angeles",209
"1989-02-12","Los Angeles",212
"1989-02-19","Los Angeles",159
"1989-02-26","Los Angeles",150
"1989-03-05","Los Angeles",150
"1989-03-12","Los Angeles",123
"1989-03-19","Los Angeles",102
"1989-03-26","Los Angeles",101
"1989-04-02","Los Angeles",67
"1989-04-09","Los Angeles",111
"1989-04-16","Los Angeles",96
"1989-04-23","Los Angeles",84
"1989-04-30","Los Angeles",93
"1989-05-07","Los Angeles",85
"1989-05-14","Los Angeles",78
"1989-05-21","Los Angeles",71
"1989-05-28","Los Angeles",84
"1989-06-04","Los Angeles",77
"1989-06-11","Los Angeles",81
"1989-06-18","Los Angeles",73
"1989-06-25","Los Angeles",86
"1989-07-02","Los Angeles",89
"1989-07-09","Los Angeles",85
"1989-07-16","Los Angeles",76
"1989-07-23","Los Angeles",80
"1989-07-30","Los Angeles",82
"1989-08-06","Los Angeles",60
"1989-08-13","Los Angeles",64
"1989-08-20","Los Angeles",91
"1989-08-27","Los Angeles",63
"1989-09-03","Los Angeles",70
"1989-09-10","Los Angeles",84
"1989-09-17","Los Angeles",85
"1989-09-24","Los Angeles",95
"1989-10-01","Los Angeles",74
"1989-10-08","Los Angeles",62
"1989-10-15","Los Angeles",71
"1989-10-22","Los Angeles",91
"1989-10-29","Los Angeles",77
"1989-11-05","Los Angeles",84
"1989-11-12","Los Angeles",89
"1989-11-19","Los Angeles",97
"1989-11-26","Los Angeles",87
"1989-12-03","Los Angeles",74
"1989-12-10","Los Angeles",87
"1989-12-17","Los Angeles",123
"1989-12-24","Los Angeles",124
"1989-12-31","Los Angeles",114
"1990-01-07","Los Angeles",129
"1990-01-14","Los Angeles",155
"1990-01-21","Los Angeles",147
"1990-01-28","Los Angeles",148
"1990-02-04","Los Angeles",152
"1990-02-11","Los Angeles",126
"1990-02-18","Los Angeles",131
"1990-02-25","Los Angeles",148
"1990-03-04","Los Angeles",118
"1990-03-11","Los Angeles",95
"1990-03-18","Los Angeles",88
"1990-03-25","Los Angeles",89
"1990-04-01","Los Angeles",67
"1990-04-08","Los Angeles",104
"1990-04-15","Los Angeles",100
"1990-04-22","Los Angeles",88
"1990-04-29","Los Angeles",103
"1990-05-06","Los Angeles",88
"1990-05-13","Los Angeles",86
"1990-05-20","Los Angeles",82
"1990-05-27","Los Angeles",88
"1990-06-03","Los Angeles",90
"1990-06-10","Los Angeles",78
"1990-06-17","Los Angeles",61
"1990-06-24","Los Angeles",68
"1990-07-01","Los Angeles",91
"1990-07-08","Los Angeles",84
"1990-07-15","Los Angeles",74
"1990-07-22","Los Angeles",91
"1990-07-29","Los Angeles",77
"1990-08-05","Los Angeles",70
"1990-08-12","Los Angeles",79
"1990-08-19","Los Angeles",78
"1990-08-26","Los Angeles",86
"1990-09-02","Los Angeles",78
"1990-09-09","Los Angeles",78
"1990-09-16","Los Angeles",78
"1990-09-23","Los Angeles",78
"1990-09-30","Los Angeles",85
"1990-10-07","Los Angeles",82
"1990-10-14","Los Angeles",72
"1990-10-21","Los Angeles",79
"1990-10-28","Los Angeles",94
"1990-11-04","Los Angeles",82
"1990-11-11","Los Angeles",84
"1990-11-18","Los Angeles",76
"1990-11-25","Los Angeles",89
"1990-12-02","Los Angeles",89
"1990-12-09","Los Angeles",108
"1990-12-16","Los Angeles",105
"1990-12-23","Los Angeles",99
"1990-12-30","Los Angeles",115
