date,value
1996-01-01,31.967
1996-02-01,41.704
1996-03-01,56.042
1996-04-01,65.903
1996-05-01,77.049
1996-06-01,83.623
1996-07-01,85.004
1996-08-01,84.237
1996-09-01,89.038
1996-10-01,93.08
1996-11-01,91.53
1996-12-01,88.821
1997-01-01,39.925
1997-02-01,47.52
1997-03-01,63.421
1997-04-01,69.513
1997-05-01,77.718
1997-06-01,83.148
1997-07-01,87.868
1997-08-01,83.858
1997-09-01,91.988
1997-10-01,93.675
1997-11-01,91.741
1997-12-01,87.174
1998-01-01,42.223
1998-02-01,54.286
1998-03-01,69.909
1998-04-01,75.602
1998-05-01,86.091
1998-06-01,92.201
1998-07-01,94.231
1998-08-01,89.113
1998-09-01,96.582
1998-10-01,101.349
1998-11-01,98.485
1998-12-01,99.605
1999-01-01,41.749
1999-02-01,47.158
1999-03-01,68.829
1999-04-01,80.446
1999-05-01,31.967
1999-06-01,93.042
1999-07-01,96.657
1999-08-01,92.521
1999-09-01,101.763
1999-10-01,101.284
1999-11-01,103.502
1999-12-01,102.287
2000-01-01,44.19
2000-02-01,53.086
2000-03-01,72.2
2000-04-01,79.664
2000-05-01,88.549
2000-06-01,95.281
2000-07-01,97.921
2000-08-01,91.919
2000-09-01,103.922
2000-10-01,105.224
2000-11-01,108.062
2000-12-01,116.108
2001-01-01,46.237
2001-02-01,52.788
2001-03-01,69.077
2001-04-01,73.74
2001-05-01,85.701
2001-06-01,94.09
2001-07-01,95.942
2001-08-01,90.855
2001-09-01,99.558
2001-10-01,103.368
2001-11-01,102.55
2001-12-01,104.274
2002-01-01,43.392
2002-02-01,51.574
2002-03-01,69.163
2002-04-01,81.353
2002-05-01,87.168
2002-06-01,96.095
2002-07-01,95.856
2002-08-01,89.187
2002-09-01,102.324
2002-10-01,102.807
2002-11-01,104.927
2002-12-01,104.398
2003-01-01,52.915
2003-02-01,58.998
2003-03-01,79.005
2003-04-01,84.558
2003-05-01,94.047
2003-06-01,101.847
2003-07-01,104.634
2003-08-01,99.939
2003-09-01,110.507
2003-10-01,112.708
2003-11-01,113.331
2003-12-01,118.204
2004-01-01,52.429
2004-02-01,57.823
2004-03-01,73.201
2004-04-01,84.858
2004-05-01,93.546
2004-06-01,104.287
2004-07-01,111.503
2004-08-01,103.218
2004-09-01,117.45
2004-10-01,120.203
2004-11-01,127.357
2004-12-01,115.409
2005-01-01,53
2005-02-01,59.3
2005-03-01,73.4
2005-04-01,87.7
2005-05-01,97.8
2005-06-01,112.9
2005-07-01,109.7
2005-08-01,105.3
2005-09-01,117.2
2005-10-01,125.1
2005-11-01,125.6
2005-12-01,133
2006-01-01,61.2
2006-02-01,63.6
2006-03-01,84.5
2006-04-01,92.5
2006-05-01,105.7
2006-06-01,113.2
2006-07-01,122.8
2006-08-01,114.7
2006-09-01,130.4
2006-10-01,135.3
2006-11-01,136.6
2006-12-01,140.3
2007-01-01,66.2
2007-02-01,78.4
2007-03-01,98.8
2007-04-01,104.9
2007-05-01,114.7
2007-06-01,123.4
2007-07-01,131.2
2007-08-01,124
2007-09-01,133.3
2007-10-01,140.8
2007-11-01,136.6
2007-12-01,143.8
2008-01-01,73.9
2008-02-01,87.1
2008-03-01,108.3
2008-04-01,112.4
2008-05-01,125
2008-06-01,127.4
2008-07-01,136.4
2008-08-01,128.5
2008-09-01,140.7
2008-10-01,143.6
2008-11-01,144.9
2008-12-01,140.3
2009-01-01,72.6
2009-02-01,83.1
2009-03-01,101.3
2009-04-01,110.8
2009-05-01,118.4
2009-06-01,130.4
2009-07-01,133.9
2009-08-01,125.9
2009-09-01,141.3
2009-10-01,143
2009-11-01,146.8
2009-12-01,144.6
2010-01-01,69.3
2010-02-01,76.9
2010-03-01,99.3
2010-04-01,106.4
2010-05-01,116.9
2010-06-01,129.4
2010-07-01,133.1
2010-08-01,124
2010-09-01,144.6
2010-10-01,142.5
2010-11-01,141.6
2010-12-01,142.4
2011-01-01,67.2
2011-02-01,79.1
2011-03-01,104.6
2011-04-01,112.9
2011-05-01,127.6
2011-06-01,137
2011-07-01,136.7
2011-08-01,133.6
2011-09-01,145.5
