date,value
1996-01-01,65.5
1996-02-01,73.8
1996-03-01,73.5
1996-04-01,66.5
1996-05-01,55.2
1996-06-01,52.6
1996-07-01,54.8
1996-08-01,52.9
1996-09-01,55.4
1996-10-01,58.8
1996-11-01,65.3
1996-12-01,82.6
1997-01-01,76.9
1997-02-01,72.9
1997-03-01,68.2
1997-04-01,66.5
1997-05-01,52.9
1997-06-01,53.1
1997-07-01,52.5
1997-08-01,51.7
1997-09-01,53.6
1997-10-01,63.5
1997-11-01,70.4
1997-12-01,80.4
1998-01-01,72.8
1998-02-01,67.8
1998-03-01,71.6
1998-04-01,62.9
1998-05-01,54.3
1998-06-01,53
1998-07-01,55.6
1998-08-01,54.9
1998-09-01,55
1998-10-01,61.7
1998-11-01,70.6
1998-12-01,88.9
1999-01-01,70.4
1999-02-01,67.4
1999-03-01,67.4
1999-04-01,55.8
1999-05-01,65.5
1999-06-01,50.1
1999-07-01,51.6
1999-08-01,49.4
1999-09-01,52.8
1999-10-01,60.1
1999-11-01,68.6
1999-12-01,87.4
2000-01-01,78.6
2000-02-01,69.1
2000-03-01,69.8
2000-04-01,58.9
2000-05-01,53.1
2000-06-01,51.2
2000-07-01,51
2000-08-01,54.6
2000-09-01,56.9
2000-10-01,61.4
2000-11-01,66
2000-12-01,79.4
2001-01-01,74.7
2001-02-01,69.1
2001-03-01,73.4
2001-04-01,64.9
2001-05-01,56.7
2001-06-01,53.2
2001-07-01,55.5
2001-08-01,53.5
2001-09-01,60.2
2001-10-01,57.6
2001-11-01,76.1
2001-12-01,90.3
2002-01-01,85.5
2002-02-01,78.6
2002-03-01,84.5
2002-04-01,66.8
2002-05-01,61.1
2002-06-01,63.2
2002-07-01,59.2
2002-08-01,60.4
2002-09-01,72.4
2002-10-01,60.5
2002-11-01,71.8
2002-12-01,75.9
2003-01-01,79.5
2003-02-01,80.9
2003-03-01,73.6
2003-04-01,64.4
2003-05-01,59.7
2003-06-01,56
2003-07-01,59.3
2003-08-01,62.9
2003-09-01,65.3
2003-10-01,68.2
2003-11-01,72.8
2003-12-01,81.7
2004-01-01,78.2
2004-02-01,75.9
2004-03-01,86.1
2004-04-01,69.9
2004-05-01,65.8
2004-06-01,64.8
2004-07-01,64.2
2004-08-01,62.4
2004-09-01,74.2
2004-10-01,77.2
2004-11-01,87.5
2004-12-01,100.2
2005-01-01,106.2
2005-02-01,105
2005-03-01,110
2005-04-01,93.2
2005-05-01,88.7
2005-06-01,88.5
2005-07-01,84.6
2005-08-01,84.4
2005-09-01,86.4
2005-10-01,101.6
2005-11-01,119.6
2005-12-01,131.9
2006-01-01,142.1
2006-02-01,133.3
2006-03-01,149.2
2006-04-01,117.9
2006-05-01,102.1
2006-06-01,107.9
2006-07-01,115.6
2006-08-01,104.9
2006-09-01,100.3
2006-10-01,119.1
2006-11-01,138.1
2006-12-01,142.1
2007-01-01,142.7
2007-02-01,135.1
2007-03-01,135.5
2007-04-01,115.3
2007-05-01,109.4
2007-06-01,115.6
2007-07-01,119
2007-08-01,111.5
2007-09-01,120.5
2007-10-01,137.3
2007-11-01,155.9
2007-12-01,167.3
2008-01-01,154.6
2008-02-01,147.3
2008-03-01,149.9
2008-04-01,129.4
2008-05-01,124.5
2008-06-01,132.4
2008-07-01,139.9
2008-08-01,132
2008-09-01,142.7
2008-10-01,156.7
2008-11-01,164.1
2008-12-01,177.4
2009-01-01,183.3
2009-02-01,169.6
2009-03-01,170.4
2009-04-01,141.2
2009-05-01,129.6
2009-06-01,132.9
2009-07-01,132.7
2009-08-01,138.2
2009-09-01,141.7
2009-10-01,157
2009-11-01,158.6
2009-12-01,185.5
2010-01-01,171.8
2010-02-01,169.8
2010-03-01,174.2
2010-04-01,148.6
2010-05-01,143.3
2010-06-01,148.3
2010-07-01,148.1
2010-08-01,144.6
2010-09-01,156.4
2010-10-01,174.4
2010-11-01,182.7
2010-12-01,222.9
2011-01-01,212.6
2011-02-01,194.5
2011-03-01,205.9
2011-04-01,180.5
2011-05-01,175.2
2011-06-01,174.9
2011-07-01,169.9
2011-08-01,171
2011-09-01,187.3
