TestIteration,DatasetLength,NumberOfEvents,NumberOfEventsSearched,NumberOfRelationsSearched,NumberOfSteps,ResultingEvents,ResultingPatterns,Time,Memory
0,32,1,1,1,1,1,0,15,42952416
0,32,1,1,1,2,1,0,15,64428760
0,32,1,1,1,3,1,0,15,85905104
0,32,1,1,1,4,1,0,15,107381448
0,32,1,1,2,1,1,0,15,21476344
0,32,1,1,2,2,1,0,15,42952688
0,32,1,1,2,3,1,0,15,64429032
0,32,1,1,2,4,1,0,15,85905376
0,32,1,1,3,1,1,0,15,21476344
0,32,1,1,3,2,1,0,15,42952688
0,32,1,1,3,3,1,0,15,64429032
0,32,1,1,3,4,1,0,15,85905376
0,32,1,2,1,1,1,0,15,42952800
0,32,1,2,1,2,1,0,15,64429144
0,32,1,2,1,3,1,0,15,85905488
0,32,1,2,1,4,1,0,15,107381832
0,32,1,2,2,1,1,0,15,42952800
0,32,1,2,2,2,1,0,15,64429144
0,32,1,2,2,3,1,0,15,85905488
0,32,1,2,2,4,1,0,15,107381832
0,32,1,2,3,1,1,0,15,42952800
0,32,1,2,3,2,1,0,15,64429144
0,32,1,2,3,3,1,0,15,85905488
0,32,1,2,3,4,1,0,15,107381832
0,32,1,3,1,1,1,0,15,42952800
0,32,1,3,1,2,1,0,15,64429144
0,32,1,3,1,3,1,0,15,85905488
0,32,1,3,1,4,1,0,15,107381832
0,32,1,3,2,1,1,0,15,42952800
0,32,1,3,2,2,1,0,15,64429144
0,32,1,3,2,3,1,0,15,85905488
0,32,1,3,2,4,1,0,15,107381832
0,32,1,3,3,1,1,0,15,42952800
0,32,1,3,3,2,1,0,15,64429144
0,32,1,3,3,3,1,0,15,85905488
0,32,1,3,3,4,1,0,15,107381832
0,32,2,1,1,1,5,0,31,42952800
0,32,2,1,1,2,5,0,46,64429144
0,32,2,1,1,3,5,0,46,85905488
0,32,2,1,1,4,5,0,46,107381832
0,32,2,1,2,1,5,2,15,42952800
0,32,2,1,2,2,5,0,31,64429144
0,32,2,1,2,3,5,0,31,85905488
0,32,2,1,2,4,5,0,31,107381832
0,32,2,1,3,1,5,3,16,42952800
0,32,2,1,3,2,5,1,16,64429144
0,32,2,1,3,3,5,0,16,85905488
0,32,2,1,3,4,5,0,16,107381832
0,32,2,2,1,1,9,8,0,42952800
0,32,2,2,1,2,9,7,16,64429144
0,32,2,2,1,3,9,6,31,85905488
0,32,2,2,1,4,9,5,31,107381832
0,32,2,2,2,1,9,10,16,42952800
0,32,2,2,2,2,9,10,32,64429144
0,32,2,2,2,3,9,10,48,85905488
0,32,2,2,2,4,9,10,64,107381832
0,32,2,2,3,1,9,11,16,42952800
0,32,2,2,3,2,9,12,32,64429144
0,32,2,2,3,3,9,12,48,85905488
0,32,2,2,3,4,9,12,64,107381832
0,32,2,3,1,1,9,8,0,42952800
0,32,2,3,1,2,9,7,0,64429144
0,32,2,3,1,3,9,6,0,85905488
0,32,2,3,1,4,9,5,0,107381832
0,32,2,3,2,1,9,10,0,42952800
0,32,2,3,2,2,9,10,0,64429144
0,32,2,3,2,3,9,10,16,85905488
0,32,2,3,2,4,9,10,32,107381832
0,32,2,3,3,1,9,11,0,42952800
0,32,2,3,3,2,9,12,15,64429144
0,32,2,3,3,3,9,12,30,85905488
0,32,2,3,3,4,9,12,45,107381832
0,32,3,1,1,1,6,0,0,42952800
0,32,3,1,1,2,6,0,0,64429144
0,32,3,1,1,3,6,0,0,85905488
0,32,3,1,1,4,6,0,0,107381832
0,32,3,1,2,1,6,2,0,42952800
0,32,3,1,2,2,6,0,16,64429144
0,32,3,1,2,3,6,0,16,85905488
0,32,3,1,2,4,6,0,16,107381832
0,32,3,1,3,1,6,3,16,42952800
0,32,3,1,3,2,6,1,16,64429144
0,32,3,1,3,3,6,0,16,85905488
0,32,3,1,3,4,6,0,16,107381832
0,32,3,2,1,1,14,7,0,42952800
0,32,3,2,1,2,14,5,0,64429144
0,32,3,2,1,3,14,4,0,85905488
0,32,3,2,1,4,14,3,0,107381832
0,32,3,2,2,1,14,15,16,42952800
0,32,3,2,2,2,14,16,31,64429144
0,32,3,2,2,3,14,17,47,85905488
0,32,3,2,2,4,14,18,62,107381832
0,32,3,2,3,1,14,21,16,42952800
0,32,3,2,3,2,14,31,16,64429144
0,32,3,2,3,3,14,45,32,85905488
0,32,3,2,3,4,14,67,48,107381832
0,32,3,3,1,1,21,20,31,42952800
0,32,3,3,1,2,21,19,47,64429144
0,32,3,3,1,3,21,18,47,85905488
0,32,3,3,1,4,21,17,47,107381832
0,32,3,3,2,1,21,35,15,42952800
0,32,3,3,2,2,21,59,31,85905392
0,32,3,3,2,3,21,96,62,107381736
0,32,3,3,2,4,21,152,108,128858080
0,32,3,3,3,1,21,50,31,42952800
0,32,3,3,3,2,21,116,78,64429144
0,32,3,3,3,3,21,256,172,85905488
0,32,3,3,3,4,21,546,297,107381832
0,32,4,1,1,1,8,0,0,42952800
0,32,4,1,1,2,8,0,0,64429144
0,32,4,1,1,3,8,0,0,85905488
0,32,4,1,1,4,8,0,0,107381736
0,32,4,1,2,1,8,3,0,42952800
0,32,4,1,2,2,8,1,0,64429144
0,32,4,1,2,3,8,0,0,85905488
0,32,4,1,2,4,8,0,0,107381832
0,32,4,1,3,1,8,5,0,42952800
0,32,4,1,3,2,8,2,0,64429144
0,32,4,1,3,3,8,1,0,85905488
0,32,4,1,3,4,8,0,0,107381832
0,32,4,2,1,1,15,6,16,42952800
0,32,4,2,1,2,15,4,16,64429144
0,32,4,2,1,3,15,3,16,85905488
0,32,4,2,1,4,15,2,16,107381832
0,32,4,2,2,1,15,14,0,42952800
0,32,4,2,2,2,15,15,0,64429144
0,32,4,2,2,3,15,19,0,85905488
0,32,4,2,2,4,15,21,0,107381832
0,32,4,2,3,1,15,22,0,42952800
0,32,4,2,3,2,15,35,0,64429144
0,32,4,2,3,3,15,57,15,85905488
0,32,4,2,3,4,15,88,30,107381832
0,32,4,3,1,1,21,16,0,42952800
0,32,4,3,1,2,21,12,0,64429144
0,32,4,3,1,3,21,9,0,85905488
0,32,4,3,1,4,21,7,0,107381832
0,32,4,3,2,1,21,29,0,42952800
0,32,4,3,2,2,21,39,16,64429144
0,32,4,3,2,3,21,53,32,85905488
0,32,4,3,2,4,21,73,48,107381832
0,32,4,3,3,1,21,43,15,42952800
0,32,4,3,3,2,21,86,30,64429144
0,32,4,3,3,3,21,173,77,85905488
0,32,4,3,3,4,21,351,155,107381832
0,64,1,1,1,1,1,0,0,42952704
0,64,1,1,1,2,1,0,0,64428952
0,64,1,1,1,3,1,0,0,85905200
0,64,1,1,1,4,1,0,0,107381448
0,64,1,1,2,1,1,0,0,42952704
0,64,1,1,2,2,1,0,0,64428952
0,64,1,1,2,3,1,0,0,85905200
0,64,1,1,2,4,1,0,0,107381448
0,64,1,1,3,1,1,0,0,42952704
0,64,1,1,3,2,1,0,0,64428952
0,64,1,1,3,3,1,0,0,85905200
0,64,1,1,3,4,1,0,0,107381448
0,64,1,2,1,1,1,0,0,42952704
0,64,1,2,1,2,1,0,0,64428952
0,64,1,2,1,3,1,0,0,85905200
0,64,1,2,1,4,1,0,0,107381448
0,64,1,2,2,1,1,0,0,42952704
0,64,1,2,2,2,1,0,0,64428952
0,64,1,2,2,3,1,0,0,85905200
0,64,1,2,2,4,1,0,0,107381448
0,64,1,2,3,1,1,0,0,42952704
0,64,1,2,3,2,1,0,0,64428952
0,64,1,2,3,3,1,0,0,85905200
0,64,1,2,3,4,1,0,0,107381448
0,64,1,3,1,1,1,0,0,42952704
0,64,1,3,1,2,1,0,0,64428952
