TestIteration,DatasetLength,NumberOfEvents,NumberOfEventsSearched,NumberOfRelationsSearched,NumberOfSteps,ResultingEvents,ResultingPatterns,Time,Memory
0,32,1,1,1,1,32,31,109,21476248
0,32,1,1,1,2,32,30,203,42952592
0,32,1,1,1,3,32,29,281,64428936
0,32,1,1,1,4,32,28,343,85905280
0,32,1,1,2,1,32,61,62,21476344
0,32,1,1,2,2,32,116,140,42952688
0,32,1,1,2,3,32,220,203,85905280
0,32,1,1,2,4,32,416,484,107381624
0,32,1,1,3,1,32,90,31,21476344
0,32,1,1,3,2,32,252,109,42952688
0,32,1,1,3,3,32,702,265,64428936
0,32,1,1,3,4,32,1944,686,128857504
0,32,1,2,1,1,32,31,0,42952704
0,32,1,2,1,2,32,30,0,64428952
0,32,1,2,1,3,32,29,16,85905200
0,32,1,2,1,4,32,28,31,107381448
0,32,1,2,2,1,32,61,15,42952704
0,32,1,2,2,2,32,116,47,64428952
0,32,1,2,2,3,32,220,94,85905200
0,32,1,2,2,4,32,416,187,107381448
0,32,1,2,3,1,32,90,15,42952704
0,32,1,2,3,2,32,252,62,64428952
0,32,1,2,3,3,32,702,218,85905200
0,32,1,2,3,4,32,1944,608,150333768
0,32,1,3,1,1,32,31,16,42952704
0,32,1,3,1,2,32,30,31,64428952
0,32,1,3,1,3,32,29,31,85905200
0,32,1,3,1,4,32,28,31,107381448
0,32,1,3,2,1,32,61,16,42952704
0,32,1,3,2,2,32,116,32,64428952
0,32,1,3,2,3,32,220,78,85905200
0,32,1,3,2,4,32,416,172,107381448
0,32,1,3,3,1,32,90,16,42952704
0,32,1,3,3,2,32,252,63,64428952
0,32,1,3,3,3,32,702,203,85905200
0,32,1,3,3,4,32,1944,608,150348152
0,32,2,1,1,1,18,13,0,42952704
0,32,2,1,1,2,18,9,15,64428952
0,32,2,1,1,3,18,5,15,85905200
0,32,2,1,1,4,18,2,15,107381448
0,32,2,1,2,1,18,24,0,42952704
0,32,2,1,2,2,18,29,16,64428952
0,32,2,1,2,3,18,33,31,85905200
0,32,2,1,2,4,18,37,31,107381448
0,32,2,1,3,1,18,34,0,42952704
0,32,2,1,3,2,18,60,16,64428952
0,32,2,1,3,3,18,98,31,85905200
0,32,2,1,3,4,18,144,62,107381448
0,32,2,2,1,1,32,31,15,42952704
0,32,2,2,1,2,32,30,31,64428952
0,32,2,2,1,3,32,29,46,85905200
0,32,2,2,1,4,32,28,46,107381448
0,32,2,2,2,1,32,61,15,42952704
0,32,2,2,2,2,32,116,46,64428952
0,32,2,2,2,3,32,220,93,85905200
0,32,2,2,2,4,32,416,187,107381448
0,32,2,2,3,1,32,90,31,42952704
0,32,2,2,3,2,32,252,94,64428952
0,32,2,2,3,3,32,702,250,85905200
0,32,2,2,3,4,32,1944,656,150333776
0,32,2,3,1,1,32,31,16,42952704
0,32,2,3,1,2,32,30,16,64428952
0,32,2,3,1,3,32,29,32,85905200
0,32,2,3,1,4,32,28,47,107381448
0,32,2,3,2,1,32,61,16,42952704
0,32,2,3,2,2,32,116,32,64428952
0,32,2,3,2,3,32,220,79,85905200
0,32,2,3,2,4,32,416,172,107381448
0,32,2,3,3,1,32,90,15,42952704
0,32,2,3,3,2,32,252,62,64428952
0,32,2,3,3,3,32,702,218,85905200
0,32,2,3,3,4,32,1944,608,150333792
0,32,3,1,1,1,8,2,0,42952704
0,32,3,1,1,2,8,1,0,64428952
0,32,3,1,1,3,8,0,0,85905200
0,32,3,1,1,4,8,0,0,107381448
0,32,3,1,2,1,8,5,0,42952704
0,32,3,1,2,2,8,1,0,64428952
0,32,3,1,2,3,8,0,0,85905200
0,32,3,1,2,4,8,0,0,107381448
0,32,3,1,3,1,8,6,0,42952704
0,32,3,1,3,2,8,4,0,64428952
0,32,3,1,3,3,8,3,0,85905200
0,32,3,1,3,4,8,1,0,107381448
0,32,3,2,1,1,25,18,0,42952704
0,32,3,2,1,2,25,14,0,64428952
0,32,3,2,1,3,25,13,0,85905200
0,32,3,2,1,4,25,12,16,107381448
0,32,3,2,2,1,25,38,15,42952704
0,32,3,2,2,2,25,63,15,64428952
0,32,3,2,2,3,25,109,47,85905200
0,32,3,2,2,4,25,191,93,107381448
0,32,3,2,3,1,25,57,16,42952704
0,32,3,2,3,2,25,138,47,64428952
0,32,3,2,3,3,25,347,125,85905200
0,32,3,2,3,4,25,867,296,128857608
0,32,3,3,1,1,32,31,16,42952704
0,32,3,3,1,2,32,30,16,64428952
0,32,3,3,1,3,32,29,16,85905200
0,32,3,3,1,4,32,28,32,107381448
0,32,3,3,2,1,32,61,16,42952704
0,32,3,3,2,2,32,116,47,64428952
0,32,3,3,2,3,32,220,94,85905200
0,32,3,3,2,4,32,416,187,107381448
0,32,3,3,3,1,32,90,16,42952704
0,32,3,3,3,2,32,252,63,64428952
0,32,3,3,3,3,32,702,203,85905200
0,32,3,3,3,4,32,1944,608,150333776
0,32,4,1,1,1,10,2,15,42952704
0,32,4,1,1,2,10,0,15,64428952
0,32,4,1,1,3,10,0,15,85905200
0,32,4,1,1,4,10,0,15,107381448
0,32,4,1,2,1,10,5,0,42952704
0,32,4,1,2,2,10,2,0,64428952
0,32,4,1,2,3,10,1,15,85905200
0,32,4,1,2,4,10,0,15,107381448
0,32,4,1,3,1,10,9,0,42952704
0,32,4,1,3,2,10,7,0,64428952
0,32,4,1,3,3,10,6,0,85905200
0,32,4,1,3,4,10,4,16,107381448
0,32,4,2,1,1,20,11,0,42952704
0,32,4,2,1,2,20,7,0,64428952
0,32,4,2,1,3,20,4,0,85905200
0,32,4,2,1,4,20,3,0,107381448
0,32,4,2,2,1,20,23,16,42952704
0,32,4,2,2,2,20,28,31,64428952
0,32,4,2,2,3,20,37,47,85905200
0,32,4,2,2,4,20,49,47,107381448
0,32,4,2,3,1,20,36,0,42952704
0,32,4,2,3,2,20,69,15,64428952
0,32,4,2,3,3,20,137,31,85905200
0,32,4,2,3,4,20,265,78,107381448
0,32,4,3,1,1,27,22,0,42952704
0,32,4,3,1,2,27,17,0,64428952
0,32,4,3,1,3,27,13,0,85905200
0,32,4,3,1,4,27,10,0,107381448
0,32,4,3,2,1,27,43,16,42952704
0,32,4,3,2,2,27,67,32,64428952
0,32,4,3,2,3,27,105,63,85905200
0,32,4,3,2,4,27,167,94,107381448
0,32,4,3,3,1,27,64,15,42952704
0,32,4,3,3,2,27,151,46,64428952
0,32,4,3,3,3,27,360,108,85905200
0,32,4,3,3,4,27,870,264,128857616
0,64,1,1,1,1,64,63,16,42952704
0,64,1,1,1,2,64,62,47,64428952
0,64,1,1,1,3,64,61,63,85905200
0,64,1,1,1,4,64,60,94,107381448
0,64,1,1,2,1,64,125,47,42952704
0,64,1,1,2,2,64,244,141,64428952
0,64,1,1,2,3,64,476,343,107381384
0,64,1,1,2,4,64,928,733,171809976
0,64,1,1,3,1,64,186,78,42952704
0,64,1,1,3,2,64,540,297,85905112
0,64,1,1,3,3,64,1566,952,193286008
0,64,1,1,3,4,64,4536,2871,451000096
0,64,1,2,1,1,64,63,31,42952704
0,64,1,2,1,2,64,62,46,64428952
0,64,1,2,1,3,64,61,77,85905200
0,64,1,2,1,4,64,60,108,107381448
0,64,1,2,2,1,64,125,46,42952704
0,64,1,2,2,2,64,244,140,64428952
0,64,1,2,2,3,64,476,343,107381360
0,64,1,2,2,4,64,928,748,171809952
0,64,1,2,3,1,64,186,78,42952704
0,64,1,2,3,2,64,540,281,85905112
0,64,1,2,3,3,64,1566,936,193286024
0,64,1,2,3,4,64,4536,2808,451000120
0,64,1,3,1,1,64,63,15,42952704
0,64,1,3,1,2,64,62,46,64428952
0,64,1,3,1,3,64,61,77,85905200
0,64,1,3,1,4,64,60,108,107381448
0,64,1,3,2,1,64,125,47,42952704
0,64,1,3,2,2,64,244,140,64428952
0,64,1,3,2,3,64,476,343,107381360
0,64,1,3,2,4,64,928,749,171809928
0,64,1,3,3,1,64,186,62,42952704
0,64,1,3,3,2,64,540,280,85905112
0,64,1,3,3,3,64,1566,919,193286064
0,64,1,3,3,4,64,4536,2791,451000128
0,64,2,1,1,1,35,20,15,42952704
0,64,2,1,1,2,35,11,15,64428952
0,64,2,1,1,3,35,6,15,85905200
0,64,2,1,1,4,35,3,15,107381448
0,64,2,1,2,1,35,39,15,42952704
0,64,2,1,2,2,35,39,30,64428952
0,64,2,1,2,3,35,31,46,85905200
0,64,2,1,2,4,35,18,62,107381448
0,64,2,1,3,1,35,57,31,42952704
0,64,2,1,3,2,35,82,62,64428952
0,64,2,1,3,3,35,102,109,85905200
0,64,2,1,3,4,35,119,171,107381448
0,64,2,2,1,1,64,63,16,42952704
0,64,2,2,1,2,64,62,47,64428952
0,64,2,2,1,3,64,61,63,85905200
0,64,2,2,1,4,64,60,94,107381448
0,64,2,2,2,1,64,125,47,42952704
0,64,2,2,2,2,64,244,140,64428952
0,64,2,2,2,3,64,476,343,107381384
0,64,2,2,2,4,64,928,733,171809960
0,64,2,2,3,1,64,186,78,42952704
0,64,2,2,3,2,64,540,296,85905136
0,64,2,2,3,3,64,1566,920,193286048
0,64,2,2,3,4,64,4536,2792,451000160
0,64,2,3,1,1,64,63,31,42952704
0,64,2,3,1,2,64,62,62,64428952
0,64,2,3,1,3,64,61,77,85905200
0,64,2,3,1,4,64,60,108,107381448
0,64,2,3,2,1,64,125,46,42952704
0,64,2,3,2,2,64,244,155,64428952
0,64,2,3,2,3,64,476,342,107381368
0,64,2,3,2,4,64,928,747,171809936
0,64,2,3,3,1,64,186,62,42952704
0,64,2,3,3,2,64,540,280,85905144
0,64,2,3,3,3,64,1566,935,193329168
0,64,2,3,3,4,64,4536,2807,451043232
0,64,3,1,1,1,15,1,0,42952704
0,64,3,1,1,2,15,0,0,64428952
0,64,3,1,1,3,15,0,0,85905200
0,64,3,1,1,4,15,0,0,107381448
0,64,3,1,2,1,15,7,16,42952704
0,64,3,1,2,2,15,3,16,64428952
0,64,3,1,2,3,15,1,32,85905200
0,64,3,1,2,4,15,0,32,107381448
0,64,3,1,3,1,15,9,15,42952704
0,64,3,1,3,2,15,4,15,64428952
0,64,3,1,3,3,15,1,15,85905200
0,64,3,1,3,4,15,0,15,107381448
0,64,3,2,1,1,46,31,16,42952704
0,64,3,2,1,2,46,20,32,64428952
0,64,3,2,1,3,46,13,32,85905200
0,64,3,2,1,4,46,9,32,107381448
0,64,3,2,2,1,46,63,15,42952704
0,64,3,2,2,2,46,86,62,64428952
0,64,3,2,2,3,46,119,124,85905200
0,64,3,2,2,4,46,167,202,107381448
0,64,3,2,3,1,46,94,31,42952704
0,64,3,2,3,2,46,192,109,64428952
0,64,3,2,3,3,46,395,296,107381368
0,64,3,2,3,4,46,817,686,171809936
0,64,3,3,1,1,64,63,15,42952704
0,64,3,3,1,2,64,62,46,64428952
